현대어,중세어,적용방식,우선순위,비고
오직,오직,그대로,100,
먼저,몬져,그대로,100,
지금,이제,그대로,100,
어찌,엇지,그대로,100,
왜,웨,그대로,100,
언제,언제,그대로,100,
누구,뉘,그대로,100,
무엇,므엇,그대로,100,
크,크,그대로,50,
작,젹,그대로,50,
길,길,그대로,50,
짧,ᄍᆞᆯ,정규식,50,
아름답,어엿브,정규식,50,
괴롭,괴롭,그대로,50,
슬프,슬프,그대로,50,
기쁘,깃브,정규식,50,
나무,나모,그대로,100,
돌,돌,그대로,100,
산,뫼,그대로,100,
들,들,그대로,100,
강,믈,정규식,100,
길,길,그대로,100,
집,집,그대로,100,
하늘,하,정규식,100,
땅,ㄴ.ㄴ,정규식,100,
아버지,아바님,그대로,100,
어머니,어마님,그대로,100,
하나,나,정규식,100,
둘,둘,그대로,100,
셋,솃,그대로,100,
넷,넫,그대로,100,
다섯,다,정규식,100,
열,열,그대로,100,
천,즈믄,그대로,100,
알,알,정규식,100,
없,업,정규식,100,
있,잇,정규식,100,
말하,닐오,정규식,100,
물,믈,정규식,100,
불,블,정규식,100,
바람,바,정규식,100,
꽃,곶,정규식,100,
낫,낟,정규식,100,
밭,받,정규식,100,
보,보,그대로,50,
듣,듣,그대로,50,
서,셔,정규식,50,
앉,엱,정규식,50,
먹,머그,정규식,50,
좋,됴,정규식,50,
어제,어제,그대로,100,
입술,입시울,그대로,100,
머리,머리,그대로,100,
무덤,므덤,그대로,100,
무지개,므지게,그대로,100,
이,이,정규식,80,조건=자음뒤에서쓰일때
가,ㅣ,정규식,80,조건=‘ㅣ’외의모음뒤에서쓰일때
가,없음,정규식,80,조건=‘ㅣ’모음뒤에서쓰일때
을,을,정규식,80,조건=자음뒤and음성모음뒤에서쓰일때
을,ㅇ.ㄹ,정규식,80,조건=자음뒤and양성모음뒤에서쓰일때
를,를,정규식,80,조건=모음뒤and음성모음뒤에서쓰일때
를,ㄹ.ㄹ,정규식,80,조건=모음뒤and양성모음뒤에서쓰일때
의,의,정규식,80,조건=유정물and음성모음뒤에서쓰일때
의,ㅇ.ㅣ,정규식,80,조건=유정물and양성모음뒤에서쓰일때
의,ㅅ,정규식,80,조건=무정물and높임의대상뒤에서쓰일때
에,애,정규식,80,조건=양성모음뒤에서쓰일때
에,에,정규식,80,조건=음성모음뒤에서쓰일때
에,예,정규식,80,조건=중성모음‘ㅣ’뒤에서쓰일때
이다,이라,정규식,80,조건=자음뒤에서쓰일때
이다,ㅣ라,정규식,80,조건=‘ㅣ’외의모음뒤에서쓰일때
이다,라,정규식,80,조건=‘ㅣ’모음뒤에서쓰일때
아,하,정규식,80,조건=높임의대상뒤에서쓰일때
야,하,정규식,80,조건=높임의대상뒤에서쓰일때
아,아,정규식,80,조건=일반명사뒤에서쓰일때
야,야,정규식,80,조건=일반명사뒤에서쓰일때
많,하,정규식,50,
생각하,혜,정규식,55,
생각,혬,정규식,50,
물,믈,정규식,100,
산,뫼,정규식,100,
백,온,정규식,100,
강,바다,정규식,100,
어리석,어리,정규식,55,
젊,졈,정규식,50,
불쌍하,어엿브,정규식,70,
작을,져글,정규식,70,
자그마한,져그락,정규식,70,
적다,젹다,정규식,70,
슬기롭,슬흘,정규식,70,
지혜,슬기,정규식,100,
겨울,셔늘,정규식,100,
꽃,곳,정규식,100,
부르,브르,정규식,50,
기르,기라,정규식,60,
떨어지,떨어디,정규식,60,
뛰,디,정규식,50,
다니,다녀,정규식,50,
늙,니그,정규식,50,
하늘,하ㄴ.ㄹ,정규식,100,
바위,암,정규식,100,
고개,바회,정규식,100,
산비탈,뫼비,정규식,100,
강,가람,정규식,100,
세상,누리,정규식,100,
하느님,하ㄴ.님,정규식,100,
그것,고것,정규식,100,
보내,보ㄴ.,정규식,50,
오,오,그대로,50,
가,가,그대로,50,
듣,듣,그대로,50,
친구,벗,정규식,100,
님,님,그대로,50,
사이,샅,정규식,90,
천,즈믄,정규식,100,
바람,평평,정규식,100,
하늘,평거,정규식,100,
니다,닐,정규식,100,
모래,몰개,정규식,100,
노래,놀개,정규식,100,
날개,나래,정규식,100,
지다,디다,정규식,100,
쉬,쉬,정규식,100,
사이,사미,정규식,100,
수플과,수플와,그대로,100,
살코기,삻고기,정규식,100,
눈자위,눈자위,그대로,100,
훈련,훈,정규식,100,
겸손,겸,정규식,100,
불길,불ㄴ.,정규식,100,
길이,길ㄴ.,정규식,100,
알거늘,알어늘,정규식,60,
나로,날,정규식,60,
너로,널,정규식,60,
알고,알오,정규식,60,
갈매기,백구,정규식,100,
늙,니그,정규식,60,
가르치,가ㄹ.치,그대로,60,
보내,보ㄴ.,정규식,60,
까마귀,가마,정규식,100,
아침,아참,정규식,100,
하늘,한날,정규식,100,
꽃잎,꽃닙,정규식,100,
풀잎,풀닙,정규식,100,
강물,가람물,정규식,100,
